City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
423,Manggar,ID,-2.8833,108.2667,84.88,68,97,14.16,overcast clouds
424,Biak,ID,-0.9131,122.8766,83.37,68,79,5.93,broken clouds
425,Turukhansk,RU,65.8167,87.9833,53.69,89,100,6.93,overcast clouds
426,Kikwit,CD,-5.041,18.8162,63.23,29,6,2.86,clear sky
427,Yayva,RU,59.3303,57.2641,46.76,94,98,7.11,overcast clouds
428,Maraa,BR,-1.8333,-65.3667,75.42,79,62,2.33,broken clouds
429,Zabol,AF,32.25,67.25,85.24,20,81,7.94,broken clouds
430,Lobito,AO,-12.3481,13.5456,69.1,86,43,3.56,scattered clouds
431,Coihaique,CL,-45.5752,-72.0662,33.96,97,35,3.85,scattered clouds
432,Krapkowice,PL,50.4752,17.9654,68.9,75,36,1.12,scattered clouds
433,Lodja,CD,-3.4833,23.4333,63.21,44,18,1.45,few clouds
434,Serebryansk,KZ,49.6925,83.2892,65.75,56,1,8.93,clear sky
435,Talas,TR,38.6908,35.5538,59.67,77,0,0.0,clear sky
436,Bellavista,PE,-7.0561,-76.5911,69.91,96,58,1.79,broken clouds
437,Freeport,US,40.6576,-73.5832,79.18,66,29,1.01,scattered clouds
438,Camalu,MX,30.85,-116.0667,71.42,77,15,6.76,few clouds
439,Genhe,CN,50.7833,121.5167,69.48,73,97,7.94,overcast clouds
440,Indramayu,ID,-6.3264,108.32,85.8,57,39,11.45,scattered clouds
441,Ambikapur,IN,23.1167,83.2,72.43,95,100,6.22,overcast clouds
442,Santiago,CL,-33.4569,-70.6483,49.86,60,0,0.0,clear sky
443,Lexington,US,37.9887,-84.4777,73.13,76,0,5.35,clear sky
444,Pangkalanbuun,ID,-2.6833,111.6167,86.2,63,90,4.5,overcast clouds
445,Nishihara,JP,26.1842,127.7558,87.46,79,75,11.5,broken clouds
446,Guangyuan,CN,32.442,105.823,88.74,47,12,5.61,few clouds
447,Gondanglegi,ID,-7.7479,112.0132,87.06,50,3,12.91,clear sky
448,Ust-Nera,RU,64.5667,143.2,52.32,74,100,9.8,light rain
449,Kamenka,RU,51.3223,42.7678,69.73,62,10,3.04,clear sky
450,Tukan,RU,53.8409,57.4552,60.08,61,43,7.2,scattered clouds
451,Lloydminster,CA,53.2835,-110.0016,64.02,32,0,7.45,clear sky
452,Pivijay,CO,10.4617,-74.6162,74.34,96,78,3.29,broken clouds
