City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Nadym,RU,2021-07-25 16:05:50,65.5333,72.5167,53.33,70,76,15.5
181,Cape Town,ZA,2021-07-25 16:05:47,-33.9258,18.4232,64.09,65,100,1.01
182,Xai-Xai,MZ,2021-07-25 16:05:50,-25.0519,33.6442,62.22,73,25,7.4
183,Poum,NC,2021-07-25 16:05:51,-20.2333,164.0167,72.28,78,7,13.78
184,Majene,ID,2021-07-25 16:05:51,-3.5403,118.9707,75.81,88,72,12.5
185,Mackenzie,CA,2021-07-25 16:05:52,55.2999,-123.1698,53.82,87,40,8.05
186,Bani,DO,2021-07-25 16:05:52,18.2833,-70.3333,87.75,66,37,9.53
187,Iralaya,HN,2021-07-25 16:05:53,15.0,-83.2333,86.09,68,100,6.98
188,Airai,TL,2021-07-25 16:05:53,-8.9266,125.4092,55.35,59,34,3.18
189,Floridablanca,CO,2021-07-25 16:05:54,7.0622,-73.0864,66.52,100,90,0.0
190,Arraial Do Cabo,BR,2021-07-25 16:05:54,-22.9661,-42.0278,76.86,65,0,24.16
191,Mongo,TD,2021-07-25 16:05:55,12.1844,18.693,77.07,78,99,4.68
192,Apsheronsk,RU,2021-07-25 16:05:55,44.46,39.73,78.93,56,34,9.82
193,Krasnoselkup,RU,2021-07-25 16:05:55,65.7,82.4667,59.41,84,68,6.42
194,Richards Bay,ZA,2021-07-25 16:05:56,-28.783,32.0377,61.66,68,4,9.84
195,Shuiji,CN,2021-07-25 16:05:56,27.4214,118.345,76.12,91,96,2.57
196,Vicosa,BR,2021-07-25 16:05:57,-20.7539,-42.8819,76.19,38,0,7.34
197,Tahlequah,US,2021-07-25 16:05:57,35.9154,-94.97,88.05,62,1,3.44
198,Sao Borja,BR,2021-07-25 16:05:57,-28.6606,-56.0044,84.25,34,3,15.59
199,Paraiso,CR,2021-07-25 16:05:58,9.8383,-83.8656,69.96,87,100,3.31
200,Shelburne,CA,2021-07-25 16:05:58,44.0787,-80.2041,80.76,61,6,9.75
201,Kysyl-Syr,RU,2021-07-25 16:05:59,63.8986,122.7617,61.66,58,3,3.13
202,Revelstoke,CA,2021-07-25 16:05:47,50.9832,-118.2023,75.16,60,4,0.43
203,Grafton,US,2021-07-25 16:05:59,42.207,-71.6856,68.79,91,90,5.99
204,Armizonskoye,RU,2021-07-25 16:06:00,55.9461,67.6736,59.07,89,78,9.6
205,Dikson,RU,2021-07-25 16:06:00,73.5069,80.5464,39.29,87,31,11.99
206,Vostok,RU,2021-07-25 16:06:00,46.4856,135.8833,66.2,92,84,4.32
207,Luang Prabang,LA,2021-07-25 16:06:01,19.8856,102.1347,74.88,100,100,1.32
208,Mar Del Plata,AR,2021-07-25 16:06:02,-38.0023,-57.5575,61.09,49,76,4.0
209,Saskylakh,RU,2021-07-25 16:06:02,71.9167,114.0833,56.25,74,59,9.06
210,Lasa,IT,2021-07-25 16:06:03,46.6166,10.7002,69.03,67,74,4.9
211,Olafsvik,IS,2021-07-25 16:06:04,64.8945,-23.7142,51.26,82,54,26.02
212,Vlasenica,BA,2021-07-25 16:06:04,44.1819,18.9406,89.42,41,63,1.77
213,Akyab,MM,2021-07-25 16:06:04,20.15,92.9,81.0,90,100,11.59
214,Portland,US,2021-07-25 16:02:13,45.5234,-122.6762,73.0,69,1,1.99
215,Hithadhoo,MV,2021-07-25 16:06:05,-0.6,73.0833,80.65,77,80,4.14
216,Sibolga,ID,2021-07-25 16:06:05,1.7427,98.7792,78.12,82,92,2.62
217,Lazaro Cardenas,MX,2021-07-25 16:06:06,17.9583,-102.2,84.2,75,36,1.52
218,Atambua,ID,2021-07-25 16:06:06,-9.1061,124.8925,66.99,79,25,4.43
219,Capinzal,BR,2021-07-25 16:06:07,-27.3436,-51.6119,82.22,31,80,5.77
220,Port Blair,IN,2021-07-25 16:06:07,11.6667,92.75,82.17,85,100,17.2
221,Gabu,GW,2021-07-25 16:06:07,12.2833,-14.2167,84.09,72,96,5.91
222,Geraldton,AU,2021-07-25 16:06:08,-28.7667,114.6,50.41,93,0,11.5
223,Aden,YE,2021-07-25 16:04:59,12.7794,45.0367,82.15,74,64,13.09
224,Chimbote,PE,2021-07-25 16:06:08,-9.0853,-78.5783,66.92,76,85,7.45
225,Winslow,US,2021-07-25 16:06:09,35.0242,-110.6974,71.96,75,40,3.44
226,Ixtapa,MX,2021-07-25 16:06:09,20.7,-105.2,87.22,62,1,2.3
227,Praia,CV,2021-07-25 16:06:10,14.9215,-23.5087,82.94,54,20,16.11
228,Gleisdorf,AT,2021-07-25 16:06:10,47.1061,15.7127,88.95,58,55,9.57
229,Vanimo,PG,2021-07-25 16:06:11,-2.6741,141.3028,74.8,83,100,3.85
230,Verkh-Usugli,RU,2021-07-25 16:06:11,52.7,115.1667,56.34,78,99,7.25
231,San Rafael Del Sur,NI,2021-07-25 16:06:12,11.8485,-86.4384,86.0,58,100,9.06
232,Matara,LK,2021-07-25 16:06:12,5.9485,80.5353,78.24,87,61,9.98
233,Bulawayo,ZW,2021-07-25 16:02:18,-20.15,28.5833,49.24,57,4,11.25
234,Isangel,VU,2021-07-25 16:06:13,-19.55,169.2667,75.16,87,68,8.14
235,Madimba,TZ,2021-07-25 16:06:13,-10.4,40.3333,74.32,67,24,14.54
236,Provideniya,RU,2021-07-25 16:06:14,64.3833,-173.3,46.69,99,100,7.27
237,Tamiahua,MX,2021-07-25 16:06:14,21.2667,-97.45,85.98,65,3,3.65
238,Joshimath,IN,2021-07-25 16:06:14,30.5667,79.5667,75.7,98,100,1.01
239,Padang,ID,2021-07-25 16:06:15,-0.9492,100.3543,77.05,85,28,4.16
240,Bengkulu,ID,2021-07-25 16:06:15,-3.8004,102.2655,76.93,89,3,4.79
241,Lebu,CL,2021-07-25 16:06:16,-37.6167,-73.65,50.52,92,95,6.67
242,Barra Do Bugres,BR,2021-07-25 16:06:16,-15.0725,-57.1811,96.24,20,0,6.33
243,Hargeysa,SO,2021-07-25 16:04:49,9.56,44.065,69.62,46,71,29.37
244,Olpad,IN,2021-07-25 16:06:17,21.3333,72.75,80.58,92,100,13.4
245,Tocopilla,CL,2021-07-25 16:06:17,-22.092,-70.1979,64.85,66,97,9.69
246,Kungurtug,RU,2021-07-25 16:06:18,50.5994,97.5228,56.39,93,100,0.72
247,Guozhen,CN,2021-07-25 16:06:18,34.3659,107.359,78.04,80,66,5.7
248,Ubajara,BR,2021-07-25 16:06:18,-3.8544,-40.9211,86.09,25,37,8.37
249,Yerbogachen,RU,2021-07-25 16:06:19,61.2767,108.0108,64.02,64,8,1.97
250,Laytown,IE,2021-07-25 16:06:19,53.6819,-6.2392,77.95,77,97,6.38
251,Meleuz,RU,2021-07-25 16:06:20,52.9667,55.9167,65.57,39,12,9.62
252,Dhankuta,NP,2021-07-25 16:06:20,26.9833,87.3333,70.34,94,98,1.28
253,Ouesso,CG,2021-07-25 16:06:21,1.6136,16.0517,82.09,60,91,5.23
254,Pokhara,NP,2021-07-25 16:06:21,28.2333,83.9833,75.49,90,100,1.72
255,Broken Hill,AU,2021-07-25 16:06:22,-31.95,141.4333,49.86,71,66,11.88
256,Mutsu,JP,2021-07-25 16:06:22,41.2894,141.2169,73.99,96,46,4.92
257,Lucea,JM,2021-07-25 16:06:22,18.451,-78.1736,84.85,68,17,4.72
258,Pogradec,AL,2021-07-25 16:06:23,40.9025,20.6525,82.4,33,1,4.63
259,Santiago De Cao,PE,2021-07-25 16:06:23,-7.9589,-79.2392,68.13,77,75,9.22
260,Kigorobya,UG,2021-07-25 16:06:24,1.6162,31.3089,74.95,51,100,4.03
261,Cartagena,CO,2021-07-25 16:06:24,10.3997,-75.5144,82.02,89,40,11.5
262,Shenzhen,CN,2021-07-25 16:04:22,22.5455,114.0683,86.27,92,45,6.24
263,Burnie,AU,2021-07-25 16:06:25,-41.0667,145.9167,44.92,80,41,16.6
264,Latur,IN,2021-07-25 16:06:25,18.4,76.5833,75.96,79,56,13.53
265,Dharchula,IN,2021-07-25 16:06:25,29.85,80.5333,76.84,94,100,1.36
266,Taoudenni,ML,2021-07-25 16:06:26,22.6783,-3.9836,116.26,5,15,10.45
267,Superior,US,2021-07-25 16:06:26,46.7208,-92.1041,84.7,41,1,6.91
268,Pobe,BJ,2021-07-25 16:06:18,6.9801,2.6649,80.42,64,93,9.44
269,Wooster,US,2021-07-25 16:06:27,40.8051,-81.9351,83.57,73,40,9.22
270,Prince Rupert,CA,2021-07-25 16:06:27,54.3161,-130.3201,54.91,93,100,2.1
271,Bilma,NE,2021-07-25 16:06:28,18.6853,12.9164,101.41,25,64,2.8
272,Shymkent,KZ,2021-07-25 16:06:28,42.3,69.6,99.19,12,0,6.71
273,Goundam,ML,2021-07-25 16:06:29,16.4145,-3.6708,97.84,32,66,8.12
274,Horn Lake,US,2021-07-25 16:06:29,34.9554,-90.0348,93.87,65,20,0.0
275,Coihaique,CL,2021-07-25 16:06:30,-45.5752,-72.0662,44.55,53,40,5.75
276,Leshukonskoye,RU,2021-07-25 16:06:30,64.8989,45.7622,51.76,68,86,7.2
277,Camacari,BR,2021-07-25 16:06:31,-12.6975,-38.3242,78.57,59,68,8.9
278,Karratha,AU,2021-07-25 16:06:31,-20.7377,116.8463,71.04,46,5,4.54
279,Cravo Norte,CO,2021-07-25 16:06:31,6.3017,-70.2041,76.68,85,100,4.65
280,Itagi,BR,2021-07-25 16:06:32,-14.1628,-40.0061,72.57,65,71,6.02
281,Komsomolskiy,UZ,2021-07-25 16:06:32,40.4272,71.7189,87.22,12,0,7.14
282,Presidencia Roque Saenz Pena,AR,2021-07-25 16:06:33,-26.7852,-60.4388,89.62,29,30,9.57
283,Villachuato,MX,2021-07-25 16:06:33,20.1667,-101.5833,64.27,56,5,3.0
284,Wad Madani,SD,2021-07-25 16:06:33,14.4012,33.5199,83.32,59,96,10.54
