City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Faanui,PF,77.45,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Sainte-Rose,GP,77.04,few clouds,16.33,-61.70,Villa - Duzer
80,Karratha,AU,78.28,few clouds,-20.74,116.85,ibis Styles Karratha
81,Harper,LR,76.23,overcast clouds,4.38,-7.72,Screensaver
82,Talnakh,RU,59.67,light rain,69.49,88.40,Talnakh Hotel
83,Berezovyy,RU,73.81,overcast clouds,51.67,135.70,"Hotel ""Phoenix"""
86,Saint-Philippe,RE,67.59,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
88,Salinas,US,72.61,broken clouds,36.68,-121.66,Laurel Inn & Conference Center
96,Lagoa,PT,69.57,broken clouds,39.05,-27.98,Casa Das Faias
97,Yarkovo,RU,55.09,overcast clouds,57.40,67.08,Тобол
98,Lima,PE,60.13,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
101,Flinders,AU,73.18,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
103,Touros,BR,74.3,few clouds,-5.20,-35.46,INN NEW HORIZON
104,Millau,FR,62.38,light rain,44.08,2.92,La Villa Des Raspes
106,Trinidad,BO,63.48,scattered clouds,-14.83,-64.90,Hotel Piesta
107,Bethel,US,72.91,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
108,Piopio,NZ,59.95,broken clouds,-38.47,175.02,Owls Nest Motel
109,Broome,US,66.58,broken clouds,42.25,-75.83,Chenango Valley State Park
110,Severo-Kurilsk,RU,59.11,overcast clouds,50.68,156.12,Kak Doma
113,Nouadhibou,MR,68.04,few clouds,20.93,-17.03,El Medina
114,Morondava,MG,64.0,clear sky,-20.28,44.28,La Case Bambou
115,Akcakoca,TR,72.09,clear sky,41.09,31.12,Turkuaz Beach Otel
117,Waddan,LY,73.76,clear sky,29.16,16.14,محل الشريف محمد العايب
118,Busselton,AU,62.04,light rain,-33.65,115.33,Observatory Guest House
119,Leo,BF,72.61,light rain,11.10,-2.10,Hotel Sissilis
124,Sinnamary,GF,77.23,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
126,Saint-Joseph,RE,66.58,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
127,Oxapampa,PE,55.67,broken clouds,-10.58,-75.40,Hotel Heidinger
129,Price,US,70.12,broken clouds,39.60,-110.81,National 9 - Price River Inn
130,Mankono,CI,70.11,overcast clouds,8.06,-6.19,Centre d'accueil Emmaüs
131,Gilbues,BR,67.73,clear sky,-9.83,-45.34,Hotel Camapuã
133,Svetlyy,RU,64.45,broken clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
135,Alghero,IT,78.98,clear sky,40.56,8.32,Villa Las Tronas Hotel & Spa
137,Beckley,US,68.49,clear sky,37.78,-81.19,"Country Inn & Suites by Radisson, Beckley, WV"
139,Olden,NO,68.16,light rain,61.84,6.81,Nesset Fjordcamping Olden
